#{"t_start": 1776330008.736752, "env_id": "None"}
r,l,t
-3872.139957,100,1519.189155
-3658.149956,100,1519.541027
-3852.91996,100,1519.946135
-1366.479958,100,1525.588622
-2677.479961,100,1525.76158
-5484.609974,100,1525.933915
-3399.98996,100,1526.118716
-2255.689957,100,1526.299807
-4789.48996,100,1526.47037
-2794.699951,100,1526.628532
-3884.749962,100,1526.794433
-3224.999958,100,1526.963501
-4447.229973,100,1527.125506
-2422.899956,100,1527.29884
-4025.709976,100,1527.456217
-2666.179955,100,1527.82285
-1887.48996,100,1528.190356
-2445.029964,100,1528.549718
-2422.359962,100,1528.874902
-2922.639961,100,1529.180775
-2890.119965,100,1529.480502
-4787.039967,100,1529.791529
-4286.609959,100,1530.088227
-4032.57996,100,1530.378615
-2944.789967,100,1534.257409
-2675.979961,100,1534.386643
-2949.109955,100,1534.518536
-3978.139961,100,1534.654169
-3021.209961,100,1534.879334
-4379.489956,100,1535.18213
-2939.279961,100,1535.498003
-2511.50996,100,1535.806621
-5001.569969,100,1536.108534
-2856.179962,100,1536.424131
-3166.439968,100,1536.997399
-3571.599968,100,1537.301736
-4362.669968,100,1537.599002
-4717.029968,100,1537.891656
-2990.719963,100,1538.184877
-1645.759956,100,1542.23163
-4092.889961,100,1542.502607
-2532.249958,100,1542.786536
-2980.289963,100,1543.098227
-3798.689949,100,1543.402133
-4727.289967,100,1549.858089
-3218.089966,100,1550.172908
-2538.029964,100,1550.542736
-2284.229969,100,1551.221636
-2518.909954,100,1551.437669
-3913.199959,100,1551.605567
-3582.519951,100,1551.823491
-3687.849957,100,1552.210776
-2755.179958,100,1552.533215
-3725.66996,100,1552.927581
-4127.359962,100,1553.381411
-3601.889961,100,1553.905376
-3941.079964,100,1554.199202
-4055.019958,100,1554.49217
-4191.639965,100,1554.806013
-3784.479958,100,1555.106839
-4501.479954,100,1555.399886
-3422.25996,100,1555.699261
-3499.759964,100,1556.116212
-4155.419968,100,1556.446391
-2959.14996,100,1556.771802
-2245.209953,100,1562.476545
-3827.739975,100,1562.792884
-2775.369961,100,1563.010837
-5949.929962,100,1563.174149
-4287.249969,100,1563.344609
-4056.319969,100,1563.51408
-3701.929962,100,1563.678416
-3880.029961,100,1563.903845
-3963.849964,100,1564.34257
-3514.459957,100,1564.661146
-2469.219963,100,1564.967346
-3381.799961,100,1565.262851
-3817.42997,100,1565.558058
-2951.25996,100,1565.912854
-3838.389965,100,1566.217628
-4546.359955,100,1566.521171
-4083.049965,100,1566.915309
-3532.699966,100,1567.246259
-3451.759956,100,1567.549887
-4132.619957,100,1567.84474
-3055.489956,100,1573.781666
-4340.819965,100,1574.06474
-3528.279964,100,1574.348234
-3414.379967,100,1574.63157
-3113.569958,100,1574.917197
-2624.019962,100,1575.241884
-4724.98996,100,1575.551287
-3515.719967,100,1575.879664
-4769.739971,100,1576.178104
-4004.419968,100,1576.425982
-3708.479958,100,1576.587525
-3221.969955,100,1576.758698
-1095.029964,100,1576.930109
-3983.409958,100,1577.101652
-4578.139954,100,1577.267332
-3625.099964,100,1577.425548
-3207.289948,100,1577.588751
-2743.939964,100,1577.735494
-3555.31995,100,1577.95678
-5243.699963,100,1578.136737
-4697.739967,100,1578.298477
-4121.459961,100,1582.740536
-3043.169964,100,1582.884483
-4389.759953,100,1583.03974
-4527.569954,100,1583.207036
-5082.679981,100,1583.367752
-4262.369972,100,1583.538562
-3705.909962,100,1583.721517
-5689.729958,100,1583.891294
-5101.539967,100,1584.080033
-3601.659958,100,1584.366576
-3433.679962,100,1584.902441
-3299.849968,100,1585.238739
-4842.479969,100,1585.67306
-3331.999962,100,1586.17293
-3459.069962,100,1586.582438
-2666.819962,100,1587.015805
-3640.309963,100,1587.357753
-3553.879959,100,1587.683282
-4282.879967,100,1587.980462
-6701.899963,100,1588.666631
-3547.519958,100,1598.910557
-5720.169968,100,1599.312191
-2954.629959,100,1599.639138
-4908.099972,100,1600.16694
-3149.279961,100,1600.527254
-4777.479961,100,1600.870571
-3418.529957,100,1601.572733
-4127.16996,100,1602.198791
-5421.689968,100,1603.06371
-3625.329967,100,1603.823562
-3594.469959,100,1604.407659
-3363.069954,100,1604.80175
-3759.059956,100,1605.022868
-3419.559971,100,1608.777302
-3990.34996,100,1609.062093
-4403.039974,100,1609.2864
-3779.689972,100,1609.493506
-2979.219975,100,1609.693727
-4259.579964,100,1609.869217
-3392.669956,100,1610.034713
-4687.799957,100,1610.329307
-3945.309971,100,1615.75847
-3887.899956,100,1616.09287
-3711.489964,100,1616.424645
-3302.309944,100,1616.78804
-4656.049957,100,1617.112772
-3830.099972,100,1617.443872
-3190.279961,100,1617.74452
-3655.299965,100,1618.116029
-4269.03997,100,1618.488697
-3057.799957,100,1618.785194
-3319.179951,100,1619.072999
-3534.699963,100,1619.355759
-2198.049965,100,1619.638154
