#{"t_start": 1776486179.9321058, "env_id": "None"}
r,l,t
3127.185863,100,922.055317
1608.148346,100,923.513909
648.784061,100,924.379596
3373.251846,100,925.154516
2068.309515,100,975.039733
2360.937328,100,975.644753
2158.41761,100,976.274733
634.485569,100,976.85291
1778.455505,100,977.411463
2091.693127,100,977.757195
3888.125084,100,978.152382
2619.230618,100,978.533063
1373.360368,100,978.885961
2306.09444,100,979.199766
1134.245003,100,979.525744
546.963959,100,979.876118
876.169151,100,1003.528111
805.649849,100,1004.235259
1891.674999,100,1005.604106
2142.440567,100,1006.328425
2457.372684,100,1006.948025
1234.372135,100,1007.761844
3177.228035,100,1008.502501
1098.520401,100,1009.071319
-368.705025,100,1009.643216
66.334003,100,1010.219862
2705.798981,100,1010.895211
2367.026554,100,1011.57439
3481.160156,100,1012.166579
1911.347145,100,1012.547736
1223.885105,100,1012.866071
2704.590816,100,1013.159844
1476.866119,100,1013.468822
1746.784496,100,1013.736772
2088.120855,100,1014.002437
1602.488594,100,1014.272026
514.010292,100,1035.711519
2746.372749,100,1036.097824
3882.012379,100,1036.415951
1909.117645,100,1036.719837
2892.483658,100,1037.034083
-420.417603,100,1037.393348
2511.275398,100,1037.831357
538.857275,100,1038.222471
1702.252794,100,1038.526313
1501.119068,100,1038.824873
3124.787736,100,1039.122955
1338.94553,100,1039.445026
1477.921698,100,1039.769242
2008.402454,100,1040.089939
-3415.427591,100,1040.398858
1625.354912,100,1040.701286
1403.456022,100,1041.029524
333.505989,100,1041.598334
2976.7295,100,1042.620894
2647.99198,100,1043.304152
3716.044064,100,1070.707482
1074.737597,100,1071.355768
1000.035089,100,1071.939143
2817.899845,100,1072.527602
-51.038891,100,1073.133011
3041.316574,100,1073.743474
1897.880871,100,1074.687844
210.744127,100,1075.639776
2644.599251,100,1076.26615
2299.917469,100,1077.174897
809.813715,100,1077.967669
3455.039303,100,1078.629993
1931.290426,100,1079.212587
1647.934563,100,1079.791603
1279.021524,100,1080.374634
1495.121216,100,1080.979027
859.089142,100,1081.576349
1834.726463,100,1082.261083
2364.152874,100,1082.878181
2233.045586,100,1083.173408
850.458694,100,1083.457598
723.628338,100,1110.198767
4298.016956,100,1110.798894
1473.880997,100,1111.391676
811.871983,100,1111.994042
2088.653961,100,1112.625104
2500.601608,100,1113.281743
2167.731701,100,1113.873304
1125.076616,100,1114.450944
2064.694851,100,1115.07695
847.696388,100,1115.770019
-234.742298,100,1116.376347
581.828074,100,1116.862226
49.227745,100,1117.597203
350.458599,100,1118.315873
-952.140675,100,1118.931979
575.511112,100,1119.532492
-703.810745,100,1120.209531
1393.489616,100,1120.827336
3184.657,100,1121.416305
2155.386181,100,1121.987606
2357.570568,100,1152.236501
1431.292376,100,1152.753083
2050.050005,100,1153.358159
1042.067974,100,1154.081939
3375.711731,100,1154.706667
845.339195,100,1155.707981
3125.672796,100,1157.113363
2986.607967,100,1157.650595
2920.05302,100,1158.784143
2537.183434,100,1159.444195
-332.669594,100,1159.80242
-239.801346,100,1160.153723
2739.160655,100,1160.469504
1347.405415,100,1160.835874
2454.273172,100,1161.19296
626.251198,100,1161.51011
-372.781459,100,1161.824517
2328.950981,100,1162.460754
427.791271,100,1163.100795
734.826122,100,1163.738487
3271.525257,100,1164.353142
964.158092,100,1190.815463
1810.023983,100,1191.392304
-1813.54565,100,1191.976032
30.621216,100,1192.546294
1977.086662,100,1193.110898
1423.386116,100,1193.693341
306.691982,100,1194.262522
2277.32399,100,1194.837752
2913.088787,100,1195.411937
2599.250626,100,1195.980583
487.984528,100,1196.552837
3615.610924,100,1197.147726
1560.378002,100,1197.790266
260.793045,100,1198.42048
3333.448589,100,1199.017392
1319.941101,100,1199.623491
1665.321407,100,1200.221794
710.655548,100,1200.836581
1118.618628,100,1201.51723
2983.181225,100,1202.132009
1915.521385,100,1232.157742
3310.599285,100,1232.813267
1528.330833,100,1233.430808
2106.540928,100,1234.032863
-170.589977,100,1234.634029
3029.100096,100,1235.248875
2153.395515,100,1235.888044
3354.212738,100,1236.479502
-802.239983,100,1237.078091
3351.475567,100,1237.718972
1474.597385,100,1238.366762
-939.50741,100,1238.997565
2128.181053,100,1240.871578
1001.619911,100,1241.961328
1736.773638,100,1242.504659
2536.649627,100,1243.000119
-1853.282204,100,1243.456819
908.893556,100,1244.199479
-882.208565,100,1244.871083
2248.098232,100,1245.515742
3565.83297,100,1246.145565
1792.920614,100,1272.759889
3482.883659,100,1273.385857
311.79771,100,1274.01267
1088.341747,100,1274.693132
3053.404949,100,1275.32691
2229.669807,100,1275.96534
-425.442463,100,1276.594903
970.287315,100,1277.209059
3235.165752,100,1277.823743
859.773544,100,1278.454232
3088.871376,100,1278.88017
275.270042,100,1279.22616
1249.98378,100,1279.521998
2072.878075,100,1279.822854
1491.543102,100,1280.126332
2654.563927,100,1280.422323
-381.216812,100,1280.782132
1062.519478,100,1281.162058
910.655567,100,1281.5219
2313.472595,100,1281.855865
2062.922173,100,1308.109986
1019.902344,100,1309.160764
2891.432816,100,1309.882143
1366.377996,100,1310.256592
-1451.080025,100,1310.557253
1892.0791,100,1310.858934
-24.841551,100,1311.167288
1559.84916,100,1311.545315
2328.565603,100,1311.923887
1859.222334,100,1312.240677
1292.274727,100,1312.547621
2973.056702,100,1312.860097
-1887.293987,100,1313.194277
1261.523136,100,1313.488743
-137.028378,100,1313.811809
-11.71097,100,1314.25775
1557.090412,100,1314.719577
1465.867016,100,1315.057498
2190.583353,100,1315.344023
3612.852493,100,1315.686393
3031.498943,100,1315.96965
933.984226,100,1344.747898
2261.023983,100,1345.116032
1820.053062,100,1345.694962
3405.427334,100,1346.147012
2119.268845,100,1346.449382
1306.350353,100,1346.728497
2080.947147,100,1347.082853
3078.488022,100,1347.874517
2316.17622,100,1349.221629
3024.75547,100,1350.730238
1246.334362,100,1353.067898
1635.395195,100,1353.875792
1296.42654,100,1354.895026
2678.993134,100,1356.294193
1350.353756,100,1356.966143
1903.906296,100,1357.82588
1760.740891,100,1358.44976
1645.260712,100,1359.01753
2916.389568,100,1359.606931
2380.808516,100,1360.311026
-38.96257,100,1383.358469
1110.174917,100,1383.996778
1936.83466,100,1384.640935
887.014771,100,1385.240536
333.409016,100,1385.825074
3010.389502,100,1386.410772
859.097485,100,1386.989414
-1783.846728,100,1387.678609
242.974537,100,1388.316618
2513.946232,100,1388.908047
2767.087084,100,1389.551202
1069.976112,100,1390.146863
-1597.56778,100,1390.747943
1908.04291,100,1391.670723
2457.229771,100,1393.392224
2617.625622,100,1394.564324
1135.865768,100,1395.853578
1091.259106,100,1396.632823
-388.419537,100,1397.341371
887.095955,100,1398.065881
479.257355,100,1398.730827
424.946606,100,1422.232083
827.670387,100,1422.536655
2697.185631,100,1422.830797
1827.163963,100,1423.150476
1455.28672,100,1423.423997
1747.978064,100,1423.687352
1452.844172,100,1423.951645
1021.433994,100,1424.332483
1082.101254,100,1424.656168
868.163103,100,1424.977196
1845.235683,100,1425.317771
566.932602,100,1425.682784
2337.130104,100,1426.086947
2534.386644,100,1426.441643
3435.548462,100,1426.804342
1889.724829,100,1427.160329
178.791641,100,1427.760595
1703.990368,100,1428.272604
887.977589,100,1428.644928
595.601149,100,1429.009254
2355.674503,100,1463.678149
376.040047,100,1464.441517
3239.16127,100,1466.10007
3316.626045,100,1466.444354
1584.031393,100,1466.798289
2893.970793,100,1467.513162
1384.106602,100,1469.305852
1652.425072,100,1470.106016
1054.162,100,1471.50698
2963.670448,100,1473.237128
3358.135845,100,1473.69838
2799.508766,100,1474.103408
525.435328,100,1474.528457
1731.212749,100,1474.941154
2169.134583,100,1475.48846
1157.966486,100,1476.396636
1704.855774,100,1478.170958
3606.704464,100,1481.157991
2564.24577,100,1482.353812
666.707337,100,1483.38185
1581.223076,100,1484.978732
3060.777433,100,1516.719394
1550.388893,100,1517.576241
1025.323414,100,1518.42953
2606.905987,100,1519.088217
2742.411869,100,1519.794405
-1446.757179,100,1520.421155
436.644535,100,1521.808773
40.576996,100,1522.652521
1283.984686,100,1524.017875
2424.030563,100,1525.085016
-638.181042,100,1526.197701
2017.753801,100,1526.570149
1683.530964,100,1527.012442
417.934616,100,1527.893154
3054.802444,100,1528.261795
128.530865,100,1528.824299
555.385765,100,1529.437987
1413.026207,100,1530.041122
1872.922768,100,1530.640967
1608.781422,100,1531.373016
2134.708485,100,1562.09143
1959.270584,100,1562.705528
-1299.774714,100,1563.330907
843.77239,100,1564.222226
552.461617,100,1565.328634
3218.243341,100,1566.186839
1285.739954,100,1567.30714
2827.467014,100,1568.331263
1196.756939,100,1569.109611
1242.281918,100,1569.510049
3062.531845,100,1569.85142
1823.808765,100,1570.196239
3200.197957,100,1570.525727
2701.769104,100,1571.203018
1857.408535,100,1572.098061
1251.769699,100,1572.767182
2003.117241,100,1573.418373
822.860018,100,1574.082532
1313.623175,100,1574.783184
1161.546368,100,1575.132001
3504.915657,100,1575.544724
787.42083,100,1599.42613
715.688244,100,1599.975007
2242.740959,100,1600.683262
3318.082363,100,1601.687295
2257.303057,100,1602.227247
718.187235,100,1602.599061
2537.976604,100,1603.135777
1567.353178,100,1603.655008
1951.044559,100,1604.131029
1735.232735,100,1604.595823
651.036232,100,1604.995994
-159.859859,100,1606.154171
1352.601688,100,1609.152018
2897.7005,100,1609.718975
2450.475037,100,1610.350431
1356.809544,100,1611.948395
24.87199,100,1612.532113
541.129431,100,1613.016922
2685.776531,100,1613.562357
359.483471,100,1614.063165
3127.521822,100,1642.749304
1151.057976,100,1643.337296
1050.459175,100,1643.868521
524.758057,100,1644.477119
137.135742,100,1645.47994
2564.262924,100,1646.077826
222.29678,100,1646.682974
-461.975729,100,1647.266882
2515.885746,100,1647.867625
2323.729546,100,1648.705429
451.684013,100,1649.768148
987.602255,100,1651.288723
1586.842686,100,1652.486731
2425.787514,100,1652.965906
2634.247822,100,1654.351993
1330.496593,100,1654.814905
2230.636383,100,1655.303138
1471.853119,100,1655.711029
636.289589,100,1656.083644
939.161419,100,1656.507787
2204.775455,100,1656.919114
3059.591591,100,1682.234102
2166.309357,100,1682.827169
2299.790768,100,1683.234486
1076.232838,100,1683.52986
879.723572,100,1683.821859
280.730015,100,1684.10756
1361.198895,100,1684.39394
1669.989719,100,1684.701452
3468.976801,100,1684.994519
3468.132246,100,1685.285617
1632.527542,100,1685.591488
637.753674,100,1685.904222
466.309954,100,1686.214196
1509.020123,100,1686.498637
2576.015755,100,1686.985891
-517.108088,100,1687.283496
2323.90321,100,1687.64548
1600.414314,100,1687.994972
3189.197815,100,1688.312762
653.250332,100,1688.594055
822.230011,100,1715.03427
1601.509926,100,1715.640367
3387.112175,100,1716.240794
2611.804089,100,1716.822495
4294.938896,100,1717.398164
3341.4715,100,1718.005639
2692.53326,100,1718.633737
2206.499187,100,1719.251924
3212.20129,100,1719.979776
3370.812969,100,1720.649951
2434.207483,100,1721.291803
2458.02327,100,1721.905497
195.829517,100,1722.496633
1537.745255,100,1723.081655
2051.700302,100,1723.665623
2586.95166,100,1724.263889
2425.604465,100,1724.837397
1565.446327,100,1725.411502
1160.02401,100,1725.997526
1980.394886,100,1726.562615
1794.966103,100,1727.112517
-1157.371368,100,1759.253418
2933.711491,100,1760.700951
2110.606461,100,1764.464366
872.352966,100,1765.061398
2403.422456,100,1766.161772
3547.43586,100,1767.202652
3824.598562,100,1768.29983
1222.013004,100,1769.208387
3100.158272,100,1769.926347
2100.50034,100,1770.434175
631.750183,100,1770.98652
-1204.286095,100,1771.442789
1689.518211,100,1772.148188
-1970.340699,100,1773.114898
897.67025,100,1773.64601
1725.887127,100,1773.977151
1932.204426,100,1774.257258
-574.36536,100,1774.533756
3008.227161,100,1774.810564
2191.156685,100,1775.196322
3093.134441,100,1806.622104
2210.117947,100,1807.26508
819.228477,100,1808.04186
1983.12623,100,1808.693142
1711.662651,100,1809.906876
2475.975872,100,1810.735678
-1623.558903,100,1811.399091
2704.371975,100,1812.018647
386.248629,100,1812.664425
2125.394371,100,1813.725079
2190.516408,100,1814.356174
-211.903984,100,1814.935761
2296.910336,100,1815.516421
3004.337303,100,1816.09302
1070.837585,100,1816.673954
2088.687458,100,1817.316182
3290.43103,100,1818.123037
1425.839298,100,1818.407599
1301.424185,100,1818.729915
-259.195393,100,1819.017884
2875.881039,100,1819.597267
2122.316349,100,1858.943408
1864.960995,100,1859.383001
2467.426054,100,1859.841196
2910.437786,100,1860.270658
2723.326595,100,1860.665344
3235.946085,100,1861.252074
2073.43576,100,1861.893176
-569.35445,100,1862.557151
-150.07917,100,1863.176445
789.466225,100,1863.838301
-1313.620951,100,1864.520852
3347.074284,100,1865.296886
3097.235027,100,1867.534447
865.77573,100,1868.939659
1801.840244,100,1870.15251
392.022215,100,1870.624417
886.562195,100,1871.122326
-249.303478,100,1871.714742
2214.245289,100,1872.451435
210.492662,100,1872.996322
2613.703056,100,1902.682737
1323.232018,100,1903.304544
1569.063718,100,1903.950748
-275.202425,100,1905.132599
1497.997543,100,1905.947404
1935.112919,100,1907.005611
1689.600691,100,1907.784835
2839.455093,100,1908.758819
-123.76482,100,1909.493862
1254.538397,100,1910.106153
2548.272007,100,1910.732947
-545.864597,100,1911.36453
2909.837379,100,1912.403254
2578.396122,100,1913.109737
2412.96648,100,1913.834905
2856.791725,100,1914.550094
1787.048523,100,1915.387918
1842.282047,100,1917.554193
1591.894539,100,1918.520303
633.351299,100,1920.198384
1334.874058,100,1922.691961
2329.450779,100,1950.411083
1585.648613,100,1951.061023
2466.063976,100,1951.775613
1526.772373,100,1952.12992
3037.239342,100,1952.440127
2274.930793,100,1952.743574
-125.597097,100,1953.03176
2243.676479,100,1953.318252
3221.478184,100,1953.598978
1276.096104,100,1953.879223
1932.598289,100,1954.162611
2128.318096,100,1954.44941
3152.426643,100,1954.998804
-546.011944,100,1955.569356
1520.785069,100,1956.218758
1677.271377,100,1956.829913
2915.017056,100,1957.422144
68.868336,100,2014.005941
2001.626011,100,2014.614348
2595.025082,100,2015.194451
2986.918449,100,2036.393433
2107.061199,100,2037.011517
1967.016205,100,2037.634061
625.391478,100,2038.256408
1383.470152,100,2038.839451
1109.01049,100,2039.415536
-102.243263,100,2039.988817
296.048645,100,2040.574494
2818.348249,100,2040.880773
2855.76395,100,2041.192149
1734.141045,100,2041.482937
2732.483473,100,2041.774322
1744.381989,100,2042.060284
1787.920055,100,2042.398363
2088.642124,100,2042.716014
3765.024212,100,2043.020889
1591.033468,100,2043.332676
-2512.074085,100,2043.64163
435.147495,100,2043.962023
-334.865887,100,2044.25658
-74.180828,100,2044.538789
1201.903549,100,2069.80595
1695.151608,100,2070.394052
1640.184383,100,2070.945185
-1836.808189,100,2071.534757
1842.349068,100,2072.109447
-766.823061,100,2072.835235
1540.066727,100,2073.470549
3527.5205,100,2074.295766
2656.795509,100,2075.123989
895.767315,100,2075.901887
-1381.053204,100,2076.538536
1807.787663,100,2077.187918
945.205439,100,2077.848988
2314.155132,100,2078.78357
1363.630032,100,2079.408087
2327.631237,100,2080.022857
1247.283138,100,2080.66867
